Solution_ID,col_grp_0_ID,col_grp_0_Rot,col_grp_0_h,col_grp_0_b,col_grp_0_fck,col_grp_0_fy,col_grp_0_required_rebar,col_grp_0_MainRebar_size,col_grp_0_Stirrup_size,col_grp_0_Stirrup_verticle_size,col_grp_1_ID,col_grp_1_Rot,col_grp_1_h,col_grp_1_b,col_grp_1_fck,col_grp_1_fy,col_grp_1_required_rebar,col_grp_1_MainRebar_size,col_grp_1_Stirrup_size,col_grp_1_Stirrup_verticle_size,col_grp_2_ID,col_grp_2_Rot,col_grp_2_h,col_grp_2_b,col_grp_2_fck,col_grp_2_fy,col_grp_2_required_rebar,col_grp_2_MainRebar_size,col_grp_2_Stirrup_size,col_grp_2_Stirrup_verticle_size,col_grp_3_ID,col_grp_3_Rot,col_grp_3_h,col_grp_3_b,col_grp_3_fck,col_grp_3_fy,col_grp_3_required_rebar,col_grp_3_MainRebar_size,col_grp_3_Stirrup_size,col_grp_3_Stirrup_verticle_size,beam_grp_0_ID,beam_grp_0_h,beam_grp_0_b,beam_grp_0_fck,beam_grp_0_fy,beam_grp_0_N_r,beam_grp_0_dimension,beam_grp_0_stirrup,beam_grp_0_strup_space,beam_grp_1_ID,beam_grp_1_h,beam_grp_1_b,beam_grp_1_fck,beam_grp_1_fy,beam_grp_1_N_r,beam_grp_1_dimension,beam_grp_1_stirrup,beam_grp_1_strup_space,beam_grp_2_ID,beam_grp_2_h,beam_grp_2_b,beam_grp_2_fck,beam_grp_2_fy,beam_grp_2_N_r,beam_grp_2_dimension,beam_grp_2_stirrup,beam_grp_2_strup_space,beam_grp_3_ID,beam_grp_3_h,beam_grp_3_b,beam_grp_3_fck,beam_grp_3_fy,beam_grp_3_N_r,beam_grp_3_dimension,beam_grp_3_stirrup,beam_grp_3_strup_space
1,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,21,0,650.0,650.0,30.0,400.0,10.0,29.0,10.0,400.0,16,1,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,21,1,650.0,650.0,30.0,400.0,10.0,29.0,10.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,1,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,21,0,650.0,650.0,30.0,400.0,10.0,29.0,10.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,21,1,650.0,650.0,30.0,400.0,10.0,29.0,10.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,36,1,700.0,650.0,30.0,500.0,12.0,25.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,1,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,63,1,900.0,600.0,27.0,400.0,10.0,29.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,21,1,650.0,650.0,30.0,400.0,10.0,29.0,10.0,400.0,16,1,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,82,1,900.0,600.0,30.0,400.0,8.0,32.0,13.0,500.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,21,1,650.0,650.0,30.0,400.0,10.0,29.0,10.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,189,1,900.0,600.0,40.0,400.0,10.0,29.0,10.0,450.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,21,1,650.0,650.0,30.0,400.0,10.0,29.0,10.0,400.0,16,1,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,63,1,900.0,600.0,27.0,400.0,10.0,29.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,82,1,900.0,600.0,30.0,400.0,8.0,32.0,13.0,500.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,189,1,900.0,600.0,40.0,400.0,10.0,29.0,10.0,450.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,63,1,900.0,600.0,27.0,400.0,10.0,29.0,10.0,250.0,70,1,900.0,600.0,27.0,500.0,12.0,25.0,10.0,150.0,21,0,650.0,650.0,30.0,400.0,10.0,29.0,10.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,63,1,900.0,600.0,27.0,400.0,10.0,29.0,10.0,250.0,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,1,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,63,1,900.0,600.0,27.0,400.0,10.0,29.0,10.0,250.0,70,1,900.0,600.0,27.0,500.0,12.0,25.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,1,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,82,1,900.0,600.0,30.0,400.0,8.0,32.0,13.0,500.0,70,1,900.0,600.0,27.0,500.0,12.0,25.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,189,1,900.0,600.0,40.0,400.0,10.0,29.0,10.0,450.0,70,1,900.0,600.0,27.0,500.0,12.0,25.0,10.0,150.0,38,1,750.0,600.0,35.0,400.0,6.0,32.0,13.0,400.0,16,0,650.0,650.0,30.0,500.0,6.0,32.0,10.0,450.0,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
